leaf_size,metric,n_neighbors,weights,f1_macro_score,loss
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,3,uniform,0.766417735816733,0.233582264183267
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,3,distance,0.7817172171852356,0.21828278281476443
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,4,uniform,0.7448068092675143,0.2551931907324857
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,4,distance,0.7852855205450658,0.21471447945493416
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,5,uniform,0.7512302226287147,0.24876977737128525
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,5,distance,0.7699165434015147,0.23008345659848528
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,6,uniform,0.7498704615579269,0.2501295384420731
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,6,distance,0.7718612475011511,0.22813875249884885
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,7,uniform,0.7496962242531616,0.2503037757468384
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,7,distance,0.7582583268074726,0.24174167319252737
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,10,uniform,0.7419622374979994,0.2580377625020006
10,<function bhattacharyya_distance at 0x0000022CE0295AB0>,10,distance,0.7622067894826673,0.2377932105173327
10,<function intersection_distance at 0x0000022CE02953F0>,3,uniform,0.7068730930335502,0.29312690696644983
10,<function intersection_distance at 0x0000022CE02953F0>,3,distance,0.07564474885304595,0.924355251146954
10,<function intersection_distance at 0x0000022CE02953F0>,4,uniform,0.7001041049426249,0.29989589505737513
10,<function intersection_distance at 0x0000022CE02953F0>,4,distance,0.07564474885304595,0.924355251146954
10,<function intersection_distance at 0x0000022CE02953F0>,5,uniform,0.7071327110154146,0.29286728898458536
10,<function intersection_distance at 0x0000022CE02953F0>,5,distance,0.07564474885304595,0.924355251146954
10,<function intersection_distance at 0x0000022CE02953F0>,6,uniform,0.6939082783974481,0.30609172160255194
10,<function intersection_distance at 0x0000022CE02953F0>,6,distance,0.07564474885304595,0.924355251146954
10,<function intersection_distance at 0x0000022CE02953F0>,7,uniform,0.6905585470175223,0.3094414529824777
10,<function intersection_distance at 0x0000022CE02953F0>,7,distance,0.07564474885304595,0.924355251146954
10,<function intersection_distance at 0x0000022CE02953F0>,10,uniform,0.6833604467222676,0.3166395532777324
10,<function intersection_distance at 0x0000022CE02953F0>,10,distance,0.07564474885304595,0.924355251146954
20,<function cityblock at 0x0000022CDC95A5F0>,3,uniform,0.8337173143340376,0.16628268566596238
20,<function cityblock at 0x0000022CDC95A5F0>,3,distance,0.8413170505761528,0.1586829494238472
20,<function cityblock at 0x0000022CDC95A5F0>,4,uniform,0.8073699896882838,0.19263001031171623
20,<function cityblock at 0x0000022CDC95A5F0>,4,distance,0.843789809652673,0.15621019034732697
20,<function cityblock at 0x0000022CDC95A5F0>,5,uniform,0.8111331880568237,0.18886681194317634
20,<function cityblock at 0x0000022CDC95A5F0>,5,distance,0.8310453374395145,0.16895466256048552
20,<function cityblock at 0x0000022CDC95A5F0>,6,uniform,0.8045365851622904,0.19546341483770957
20,<function cityblock at 0x0000022CDC95A5F0>,6,distance,0.8281097554476452,0.1718902445523548
20,<function cityblock at 0x0000022CDC95A5F0>,7,uniform,0.8027977404524153,0.19720225954758475
20,<function cityblock at 0x0000022CDC95A5F0>,7,distance,0.819912205566952,0.180087794433048
20,<function cityblock at 0x0000022CDC95A5F0>,10,uniform,0.7783323748966074,0.22166762510339255
20,<function cityblock at 0x0000022CDC95A5F0>,10,distance,0.8130126790970826,0.18698732090291736
20,<function cosine at 0x0000022CDC95A320>,3,uniform,0.8059483793780783,0.19405162062192172
20,<function cosine at 0x0000022CDC95A320>,3,distance,0.8225170664146889,0.1774829335853111
20,<function cosine at 0x0000022CDC95A320>,4,uniform,0.7773701244958304,0.22262987550416957
20,<function cosine at 0x0000022CDC95A320>,4,distance,0.8206689178080518,0.17933108219194815
20,<function cosine at 0x0000022CDC95A320>,5,uniform,0.7896404901216978,0.2103595098783022
20,<function cosine at 0x0000022CDC95A320>,5,distance,0.81806088527146,0.18193911472853996
20,<function cosine at 0x0000022CDC95A320>,6,uniform,0.7736379272319156,0.2263620727680844
20,<function cosine at 0x0000022CDC95A320>,6,distance,0.8201596011969694,0.1798403988030306
20,<function cosine at 0x0000022CDC95A320>,7,uniform,0.7746373614166776,0.2253626385833224
20,<function cosine at 0x0000022CDC95A320>,7,distance,0.8026960561661866,0.19730394383381344
20,<function cosine at 0x0000022CDC95A320>,10,uniform,0.7642019683751006,0.23579803162489943
20,<function cosine at 0x0000022CDC95A320>,10,distance,0.7906305660257327,0.20936943397426733
20,<function sqeuclidean at 0x0000022CDC95A200>,3,uniform,0.8014578569537484,0.19854214304625162
20,<function sqeuclidean at 0x0000022CDC95A200>,3,distance,0.8174907368257393,0.18250926317426075
20,<function sqeuclidean at 0x0000022CDC95A200>,4,uniform,0.775896714492466,0.224103285507534
20,<function sqeuclidean at 0x0000022CDC95A200>,4,distance,0.8168163166842707,0.18318368331572932
20,<function sqeuclidean at 0x0000022CDC95A200>,5,uniform,0.7880224706437126,0.21197752935628744
20,<function sqeuclidean at 0x0000022CDC95A200>,5,distance,0.811164874147642,0.18883512585235795
